M1,M2,Cosine,Top-1,Rank
gra,clip,0.7778259515762329,0.564453125,25.7421875
clip,gra,0.7430306673049927,0.8876953125,1.419921875
gtr,ste,0.8046845197677612,0.9970703125,1.00390625
ste,gtr,0.8166571855545044,0.99609375,1.0458984375
gra,ste,0.7911041975021362,0.9970703125,1.0029296875
ste,gra,0.7986414432525635,0.99609375,1.0068359375
gte,e5,0.8683077096939087,0.9951171875,1.8310546875
e5,gte,0.8956975936889648,0.998046875,1.001953125
gra,gtr,0.8006215691566467,0.99609375,1.009765625
gtr,gra,0.8104279041290283,0.9951171875,1.021484375
e5,gra,0.807790994644165,0.9931640625,1.375
gra,e5,0.8485419750213623,0.9912109375,1.025390625
gte,gtr,0.7516347765922546,0.96875,1.287109375
gtr,gte,0.8663177490234375,0.9794921875,1.18359375
e5,gtr,0.7372738122940063,0.9453125,1.271484375
gtr,e5,0.8276739120483398,0.943359375,1.2490234375
gte,ste,0.8947963714599609,1.0,1.0
ste,gte,0.9207523465156555,1.0,1.0
e5,ste,0.7800657153129578,0.9990234375,1.0009765625
ste,e5,0.8643876314163208,1.0,1.0
ste,clip,0.7697993516921997,0.5234375,36.916015625
clip,ste,0.7212764620780945,0.759765625,3.2265625
e5,clip,0.6470323801040649,0.0341796875,309.607421875
clip,e5,0.7289752960205078,0.0595703125,206.451171875
gte,clip,0.6215086579322815,0.0078125,400.251953125
clip,gte,0.7475125789642334,0.01171875,338.41015625
clip,gtr,0.6677303314208984,0.4794921875,19.6591796875
gtr,clip,0.7341454029083252,0.2841796875,87.388671875
gra,gte,0.8681650161743164,0.98828125,1.013671875
gte,gra,0.7536141276359558,0.98828125,1.013671875
