M1,M2,cos,T-1,Rank
gte,e5,0.83,88.9,4.25
e5,gte,0.87,98.9,1.03
e5,gtr,0.67,71.0,4.05
gtr,e5,0.8,42.4,15.3
e5,stel.,0.77,96.9,1.07
stel.,e5,0.85,97.9,1.04
e5,gran.,0.79,97.0,1.08
gran.,e5,0.83,84.2,2.32
gran.,gte,0.85,88.8,1.56
gte,gran.,0.71,90.9,1.56
gte,gtr,0.71,90.6,2.56
gtr,gte,0.85,90.9,2.21
gran.,gtr,0.75,98.9,1.02
gtr,gran.,0.79,98.4,1.04
gran.,stel.,0.77,89.0,1.59
stel.,gran.,0.78,96.4,1.11
gte,stel.,0.87,100.0,1.0
stel.,gte,0.91,100.0,1.0
gtr,stel.,0.77,94.4,1.19
stel.,gtr,0.76,99.5,1.0
